,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
183,ID1000107303,DEWA,PT Darma Henwa Tbk,Asia / Pacific,Asia / Pacific,ID,IDR,IDX,Materials,Metals and Mining,Small Cap,Core,1001.5,1206.98,442.0,922.182,822.7598716029839,794.5374082697659,851.980713807224,0.8614476733099254,1.5661789894697928,1.0,1.0863846153846155,-0.3371,7.883,7.883,0.993,4.0,0.9263805582372957,0.565328809260852,0.17999665454052277,0.8414035488403371,1.925765013074587,0.9845625
187,FR0010353888,ALMDG,MGI Digital Technology Société Anonyme,Europe,Europe,FR,EUR,ENXTPA,Information Technology,Technology Hardware Storage and Peripherals,Small Cap,Value,73.02,53.39,10.52,23.65,19.537779764369585,19.027911690517172,20.047784385700883,0.8572033996549034,1.5571088248054146,1.0,1.2480988593155895,0.1227,-0.7232,-0.6588,-0.2854,2.0,0.981655943960141,0.7561061114600289,0.03726244070802076,0.8542499382237791,2.3463058411924,0.959625
189,FR0010820274,ALUNI,Unify Group SA,Europe,Europe,FR,EUR,ENXTPA,Communication Services,Media,Small Cap,Value,114.69,233.1,1.8,5.55,3.3392558413015623,3.252496217953841,3.430137168193189,0.855142134056422,1.5525365794022095,1.0,2.0833333333333335,0.1465,-0.5446,0.9585,-0.2333,2.0,1.0370034007413427,0.9657276331746631,-0.08049281722923728,0.8626289877156826,2.7400362315950613,0.928875
202,IL0011858912,PGY,Pagaya Technologies Ltd.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Information Technology,Software,Small Cap,Value,1317.67,1086.43,15.89,26.5,29.414505259994367,28.434922762506538,30.420704364702047,0.8511331189423741,1.543434025989363,1.0,0.6677155443675268,-0.2397,,,-0.1164,10.0,0.8793851439284376,0.3012698124274064,0.4371669221064169,0.8551352961153336,1.4077880484239702,0.9995625
204,AU000000RSG6,RSG,Resolute Mining Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Materials,Metals and Mining,Small Cap,Core,1380.09,1230.12,0.925,2.04,1.7100846040672335,1.6648749175980202,1.7567299853843341,0.8487401125051213,1.538360826789888,1.0,1.2054054054054053,-0.2449,0.8273,-0.2572,0.3122,5.0,0.9211050798573018,0.5275844678134728,0.19665387036065982,0.8537300452001994,1.8571264153646103,0.9884375
6307,JP3162350007,2175,SMS Co. Ltd.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Industrials,Professional Services,Small Cap,Core,1194.24,1154.59,2384.0,1706.2,2132.371031061489,2081.93234160186,2184.4734767046425,-0.10554906415206022,-1.4382217768677208,0.0,-0.28431208053691276,0.7974,-0.1861,1.3315,-0.0363,5.0,-0.09044448230755041,0.17271258647112905,-0.3335058961964999,-0.10711444515383474,0.204591400906133,0.254125
6308,US70959W1036,PAG,Penske Automotive Group Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Consumer Discretionary,Specialty Retail,Mid Cap,Value,14290.6,23558.2,217.35,197.875,194.34009938323825,190.08315135829275,198.53130326173405,-0.10586565731199327,-1.4396180339520195,0.0,-0.08960202438463308,0.3971,2.0121,6.7984,0.121,8.0,-0.09774618498438097,0.1321659722936883,-0.29621067592099587,-0.10776042045119827,0.13157650542578514,0.197625
6314,US69318G1067,PBF,PBF Energy Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Energy,Oil Gas and Consumable Fuels,Small Cap,Core,7344.4,10483.25,61.63,56.8462,54.792276532360916,53.43499318085396,56.17243829221398,-0.11094797124191286,-1.4630651781514077,0.0,-0.07762128833360377,1.3059,6.6318,2.6622,0.1423,13.0,-0.10605277976376938,0.10721063414578401,-0.2696023511853123,-0.11272437288005563,0.07811331121449655,0.148375
6317,INE117A01022,500002,ABB India Limited,Asia / Pacific,Asia / Pacific,IN,INR,BSE,Industrials,Electrical Equipment,Large Cap,Core,16200.62,15604.87,7369.7,6376.4444,6532.91886341339,6363.064853383672,6714.560333111145,-0.11354344635285216,-1.475109049735018,0.0,-0.13477558109556698,0.4312,3.4429,5.6193,0.202,27.0,-0.11076447023773886,0.07312137394108731,-0.2259457983204722,-0.11289341969898875,0.011860503918155468,0.0654375
6328,ES0130670112,ELE,Endesa S.A.,Europe,Europe,ES,EUR,BME,Utilities,Electric Utilities,Large Cap,Core,49045.33,63311.39,41.16,34.5596,36.065757899532116,34.9918955562522,37.175651561076805,-0.12376681488016995,-1.5227923689809164,0.0,-0.16035957240038873,0.3924,1.4603,2.8064,0.3404,23.0,-0.11848506386062309,0.07757773404394266,-0.2381903289984906,-0.12283417888616135,0.014891118030371379,0.0666875
